35.01.01.2001                                                                             1 Widoro
35.23.09.2007                                                                        7 Parangbatu
35.23.09.2008                                                                        8 Wukirharjo
35.23.09.2009                                                                        9 Cengkong
35.23.09.2010                                                                       10 Brangkal
35.23.09.2011                                                                       11 Margorejo
35.23.09.2012                                                                       12 Dagangan
35.23.09.2013                                                                       13 Suciharjo
35.23.09.2014                                                                       14 Pacing
35.23.09.2015                                                                       15 Selogabus
35.23.09.2016                                                                       16 Sugihwaras
35.23.09.2017                                                                       17 Sendangrejo
35.23.09.2018                                                                       18 Mojomalang
35.23.10.2001                                                                        1 Guwoterus
35.23.10.2002                                                                        2 Nguluhan
35.23.10.2003                                                                        3 Tanggulangin
35.23.10.2004                                                                        4 Manjung
35.23.10.2005                                                                        5 Talangkembar
35.23.10.2006                                                                        6 Montongsekar
35.23.10.2007                                                                        7 Pakel
35.23.10.2008                                                                        8 Sumurgung
35.23.10.2009                                                                        9 Bringin
35.23.10.2010                                                                       10 Pucangan
35.23.10.2011                                                                       11 Maindu
35.23.10.2012                                                                       12 Jetak
35.23.10.2013                                                                       13 Talun
35.23.11.2001                                                                        1 Tluwe
35.23.11.2002                                                                        2 Wadung
35.23.11.2003                                                                        3 Jati
35.23.11.2004                                                                        4 Menilo
35.23.11.2005                                                                        5 Cekalang
35.23.11.2006                                                                        6 Pandanagung
35.23.11.2007                                                                        7 Prambontergayang                             Perbaikan nama, Srt No 140/414.106/2016 , April 2016. Koreksi
35.23.11.2008                                                                        8 Klumpit
35.23.11.2009                                                                        9 Simo
35.23.11.2010                                                                       10 Mentoro
35.23.11.2012                                                                       11 Kendalrejo
35.23.11.2013                                                                       12 Nguruan
35.23.11.2014                                                                       13 Jegulo
35.23.11.2015                                                                       14 Sokosari
35.23.11.2016                                                                       15 Bangunrejo
35.23.11.2017                                                                       16 Mojoagung
35.23.11.2019                                                                       17 Gununganyar
35.23.11.2020                                                                       18 Sumurcinde
35.23.11.2021                                                                       19 Pandanwangi
35.23.11.2022                                                                       20 Sandingrowo
35.23.11.2023                                                                       21 Rahayu
35.23.11.2024                                                                       22 Glagahsari
35.23.11.2025                                                                       23 Kenongosari
35.23.12.2001                                                                        1 Karangasem
35.23.12.2002                                                                        2 Socorejo
35.23.12.2003                                                                        3 Temaji
35.23.12.2004                                                                        4 Purworejo
35.23.12.2005                                                                        5 Tasikharjo
35.23.12.2006                                                                        6 Sumurgeneng
35.23.12.2007                                                                        7 Suwalan
35.23.12.2008                                                                        8 Remen
35.23.12.2009                                                                        9 Beji
35.23.12.2010                                                                       10 Wadung
35.23.12.2011                                                                       11 Rawasan
35.23.12.2012                                                                       12 Mentoso
35.23.12.2013                                                                       13 Jenggolo
35.23.12.2014                                                                       14 Kaliuntu
35.23.12.2015                                                                       15 Sekardadi
35.23.12.2016                                                                       16 Jenu
35.23.12.2017                                                                       17 Sugihwaras
35.23.13.2001                                                                        1 Tlogowaru
35.23.13.2002                                                                        2 Tobo
35.23.13.2003                                                                        3 Temandang
35.23.13.2004                                                                        4 Tuwiri Wetan
35.23.13.2005                                                                        5 Pongpongan
35.23.13.2006                                                                        6 Tuwiri Kulon
35.23.13.2007                                                                        7 Sugihan
35.23.13.2008                                                                        8 Senori
35.23.13.2009                                                                        9 Sembungrejo
35.23.13.2010                                                                       10 Kapu
35.23.13.2011                                                                       11 Tahulu
35.23.13.2012                                                                       12 Tegalrejo
35.23.13.2013                                                                       13 Borehbangle
35.23.13.2014                                                                       14 Sambonggede
35.23.13.2015                                                                       15 Sumber
35.23.13.2016                                                                       16 Mandirejo
35.23.13.2017                                                                       17 Sendanghaji
35.23.13.2018                                                                       18 Bogorejo
35.23.13.2019                                                                       19 Sumberjo                                     Koreksi nama berdasarkan srt Sekda Jatim No
35.23.14.2004                                                                        1 Kebonagung
35.23.14.2005                                                                        2 Pekuwon
35.23.14.2007                                                                        3 Rengel
35.23.14.2008                                                                        4 Maibit
35.23.14.2009                                                                        5 Bulurejo
35.23.14.2010                                                                        6 Karangtinoto
35.23.14.2011                                                                        7 Sawahan
35.23.14.2013                                                                        8 Kanorejo
35.23.14.2014                                                                        9 Tambakrejo
35.23.14.2016                                                                       10 Ngadirejo
35.23.14.2017                                                                       11 Sumberejo
35.23.14.2018                                                                       12 Punggulrejo
35.23.14.2019                                                                       13 Campurejo
35.23.14.2020                                                                       14 Banjaragung
35.23.14.2021                                                                       15 Banjararum
35.23.14.2022                                                                       16 Prambonwetan
35.23.15.2001                                                                        1 Jadi
35.23.15.2002                                                                        2 Boto
35.23.15.2003                                                                        3 Prunggahan Kulon
35.23.15.2004                                                                             4 Tegalagung
35.23.15.1006                                                     1 Karang
35.23.15.2009                                                                             5 Bektiharjo
35.23.15.2010                                                                             6 Ngino
35.23.15.2011                                                                             7 Prunggahan Wetan                            Perbaikan nama, Srt No 140/414.106/2016 , April 2016
35.23.15.2012                                                                             8 Sambongrejo
35.23.15.2013                                                                             9 Semanding
35.23.15.2014                                                                            10 Bejagung
35.23.15.1015                                                     2 Gedongombo
35.23.15.2016                                                                            11 Penambangan
35.23.15.2017                                                                            12 Genaharjo
35.23.15.2018                                                                            13 Kowang
35.23.15.2019                                                                            14 Tunah
35.23.15.2020                                                                            15 Gesing
35.23.16.2001                                                                             1 Sumurgung
35.23.16.2002                                                                             2 Sugiharjo
35.23.16.1003                                                     1 Mondokan
35.23.16.2004                                                                             3 Kembangbilo
35.23.16.1005                                                     2 Perbon
35.23.16.1006                                                     3 Latsari
35.23.16.1007                                                     4 Karangsari
35.23.16.1008                                                     5 Kingking
35.23.16.1009                                                     6 Ronggomulyo
35.23.16.1010                                                     7 Sidorejo
35.23.16.1011                                                     8 Doromukti
35.23.16.1012                                                     9 Sidomulyo
35.23.16.1013                                                    10 Kutorejo
35.23.16.1014                                                    11 Kebonsari
35.23.16.1015                                                    12 Sendangharjo
35.23.16.1016                                                    13 Baturetno
35.23.16.1017                                                     14 Sukolilo
35.23.17.2001                                                                                 1 Trutup
35.23.17.2002                                                                                 2 Kesamben
35.23.17.2003                                                                                 3 Kepohagung                              Perbaikan nama, Srt No 140/414.106/2016 , April 2016. Koreksi
35.23.17.2004                                                                                 4 Kedungrojo                              Koreksi nama Srt pemprov no 140/9013/011/2017 tgl 12 Mei
35.23.17.2005                                                                                 5 Sumurjalak
35.23.17.2006                                                                                 6 Sembungrejo
35.23.17.2007                                                                                 7 Sumberagung
35.23.17.2008                                                                                 8 Cangkring
35.23.17.2009                                                                                 9 Plumpang
35.23.17.2010                                                                                10 Plandirejo
35.23.17.2011                                                                                11 Ngrayung
35.23.17.2012                                                                                12 Bandungrejo
35.23.17.2013                                                                                13 Jatimulyo
35.23.17.2014                                                                                14 Klotok
35.23.17.2015                                                                                15 Magersari
35.23.17.2016                                                                                16 Kebomlati
35.23.17.2017                                                                                17 Penidon
35.23.17.2018                                                                                18 Kedungsoko
35.23.18.1001                                                      1 Payuran
35.23.18.2002                                                                                 1 Tasikmadu
35.23.18.2003                                                                                 2 Tegalbang
35.23.18.2004                                                                                 3 Sumurgung
35.23.18.2005                                                                                 4 Kradenan
35.23.18.2006                                                                                 5 Dawung
35.23.18.2007                                                                                 6 Cendoro
35.23.18.2008                                                                                 7 Ngimbang
35.23.18.2009                                                                                 8 Pucangan
35.23.18.2010                                                                                 9 Gesikharjo
35.23.18.2011                                                                                10 Palang
35.23.18.2012                                                                                11 Glodog
35.23.18.2013                                                                       12 Leran Kulon
35.23.18.2014                                                                       13 Leran Wetan                              Perbaikan nama, Srt No 140/414.106/2016 , April 2016
35.23.18.2015                                                                       14 Wangun
35.23.18.2016                                                                       15 Karangagung
35.23.18.2017                                                                       16 Pliwetan
35.23.18.2018                                                                       17 Cepokorejo                               Koreksi nama Srt pemprov no 140/9013/011/2017 tgl 12 Mei
35.23.18.2019                                                                       18 Ketambul
35.23.19.2001                                                                        1 Patihan
35.23.19.2002                                                                        2 Minohorejo
35.23.19.2003                                                                        3 Mrutuk
35.23.19.2004                                                                        4 Compreng
35.23.19.2005                                                                        5 Sumberjo
35.23.19.2006                                                                        6 Ngadipuro
35.23.19.2007                                                                        7 Ngadirejo
35.23.19.2008                                                                        8 Bunut
35.23.19.2009                                                                        9 Widang
35.23.19.2010                                                                       10 Banjar
35.23.19.2011                                                                       11 Tegalsari
35.23.19.2012                                                                       12 Mlangi
35.23.19.2013                                                                       13 Simorejo
35.23.19.2014                                                                       14 Kedungharjo
35.23.19.2015                                                                       15 Kujung
35.23.19.2016                                                                       16 Tegalrejo
35.23.20.2001                                                                        1 Ngarum                                   Semula wil. Kec. Soko
35.23.20.2002                                                                        2 Ngrejeng                                 Semula wil. Kec. Soko
35.23.20.2003                                                                        3 Grabagan                                 Semula wil. Kec. Rengel
35.23.20.2004                                                                        4 Waleran                                  Semula wil. Kec. Rengel
35.23.20.2005                                                                        5 Banyubang                                Semula wil. Kec. Rengel
35.23.20.2006                                                                        6 Gesikan                                  Semula wil. Kec. Rengel
35.23.20.2007                                                                        7 Ngandong                                 Semula wil. Kec. Rengel
35.23.20.2008                                                                        8 Dahor                                    Semula wil. Kec. Rengel
35.23.20.2009                                                                        9 Dermawuharjo                             Semula wil. Kec. Semanding
35.23.20.2010                                                                               10 Menyunyur                                       Semula wil. Kec. Semanding
35.23.20.2011                                                                               11 Pakis                                           Semula wil. Kec. Semanding
35.24.01.2001                                                                                1 Sembung
35.24.01.2002                                                                                2 Banggle
35.24.01.2003                                                                                3 Kedungkumpul
35.24.01.2004                                                                                4 Sukorame
35.24.01.2005                                                                                5 Mragel
35.24.01.2006                                                                                6 Kedungrejo
35.24.01.2007                                                                                7 Sewor
35.24.01.2008                                                                                8 Wedoro
35.24.01.2009                                                                                9 Pendowokumpul
35.24.02.2001                                                                                1 Talunrejo
35.24.02.2002                                                                                2 Banjargondang
35.24.02.2003                                                                                3 Bluluk
35.24.02.2004                                                                                4 Cangkring
35.24.02.2005                                                                                5 Bronjong
35.24.02.2006                                                                                6 Songowareng
35.24.02.2007                                                                                7 Kuwurejo
35.24.02.2008                                                                                8 Sumberbanjar
35.24.02.2009                                                                                9 Primpen
35.24.03.2001                                                                                1 Jegreg
35.24.03.2002                                                                                2 Kedungpengaron
35.24.03.2003                                                                                3 Sumberagung
35.24.03.2004                                                                                4 Kedunglerep
35.24.03.2005                                                                                5 Jatipayak
35.24.03.2006                                                                                6 Kedungwaras
35.24.03.2007                                                                                7 Sidomulyo
35.24.03.2008                                                                                8 Sambangrejo
35.24.03.2009                                                                                9 Medalem
35.24.03.2010                                                                            10 Sidodowo
35.24.03.2011                                                                            11 Mojorejo
35.24.03.2012                                                                            12 Sambungrejo
35.24.03.2013                                                                            13 Kedungrejo
35.24.03.2014                                                                            14 Kacangan
35.24.03.2015                                                                            15 Nguwok
35.24.03.2016                                                                            16 Pule
35.24.03.2017                                                                            17 Yungyang
35.24.04.2001                                                                             1 Kedungmentawar
35.24.04.2002                                                                             2 Cerme
35.24.04.2003                                                                             3 Gebangangkrik
35.24.04.2004                                                                             4 Ngasemlemahbang
35.24.04.2005                                                                             5 Slaharwotan
35.24.04.2006                                                                             6 Ganggangtingan
35.24.04.2007                                                                             7 Jejel
35.24.04.2008                                                                             8 Purwokerto
35.24.04.2009                                                                             9 Kakatpenjalin
35.24.04.2010                                                                            10 Tlemang
35.24.04.2011                                                                            11 Mendogo
35.24.04.2012                                                                            12 Lawak
35.24.04.2013                                                                            13 Drujugurit
35.24.04.2014                                                                            14 Girik
35.24.04.2015                                                                            15 Munungrejo
35.24.04.2016                                                                            16 Ngimbang
35.24.04.2017                                                                            17 Durikedungjero                              Srt Bupati Lamongan No 040/127/413.012/2016 tgl 12 April
35.24.04.2018                                                                            18 Lamongrejo
35.24.04.2019                                                                            19 Sendangrejo
35.24.05.1001                                                     1 Banaran
35.24.05.2002                                                                             1 Karangkembang
35.24.05.1003                                                     2 Babat
35.24.05.2004                                                                             2 Pucakwangi
35.24.05.2005                                                                             3 Sogo
35.24.05.2006                                                                       4 Bedahan
35.24.05.2007                                                                       5 Truni
35.24.05.2008                                                                       6 Gendongkulon
35.24.05.2009                                                                       7 Plaosan
35.24.05.2010                                                                       8 Trepan
35.24.05.2011                                                                       9 Kuripan
35.24.05.2012                                                                      10 Kebalanpelang
35.24.05.2013                                                                      11 Sumurgenuk
35.24.05.2014                                                                      12 Gembong
35.24.05.2015                                                                      13 Bulumargi
35.24.05.2016                                                                      14 Datinawong
35.24.05.2017                                                                      15 Kebalandono
35.24.05.2018                                                                      16 Patihan
35.24.05.2019                                                                      17 Moropelang
35.24.05.2020                                                                      18 Keyongan
35.24.05.2021                                                                      19 Sambangan
35.24.05.2022                                                                      20 Tritunggal
35.24.05.2023                                                                      21 Kebonagung
35.24.06.2001                                                                       1 Dradahblumbang
35.24.06.2002                                                                       2 Kalen
35.24.06.2003                                                                       3 Mojodadi
35.24.06.2004                                                                       4 Gunungrejo
35.24.06.2005                                                                       5 Warungring
35.24.06.2006                                                                       6 Jatidrojog
35.24.06.2007                                                                       7 Kradenanrejo
35.24.06.2008                                                                       8 Kandangrejo
35.24.06.2009                                                                       9 Kedungpring
35.24.06.2010                                                                      10 Tlanak
35.24.06.2011                                                                      11 Sukomalo
35.24.06.2012                                                                      12 Mlati
35.24.06.2013                                                                      13 Karangcangkring
35.24.06.2014                                                                      14 Mekanderejo
35.24.06.2015                                                                      15 Banjarejo
35.24.06.2016                                                                          16 Sidobangun
35.24.06.2017                                                                          17 Blawirejo
35.24.06.2018                                                                          18 Maindu
35.24.06.2019                                                                          19 Tenggerejo
35.24.06.2020                                                                          20 Majenang
35.24.06.2021                                                                          21 Sidomlangean                              Koreksi nama berdasarkan srt Sekda Jatim No
35.24.06.2022                                                                          22 Nglebur
35.24.06.2023                                                                          23 Sumengko
35.24.07.2001                                                                           1 Lohgung
35.24.07.2002                                                                           2 Labuhan
35.24.07.2003                                                                           3 Sidomukti
35.24.07.2004                                                                           4 Brengkok
35.24.07.2005                                                                           5 Tlogoretno
35.24.07.2006                                                                           6 Sendangharjo
35.24.07.2007                                                                           7 Lembor
35.24.07.2008                                                                           8 Sedayulawas
35.24.07.2009                                                                           9 Sumberagung
35.24.07.1010                                                     1 Brondong
35.24.08.2001                                                                           1 Dateng
35.24.08.2002                                                                           2 Jabung
35.24.08.2003                                                                           3 Keduyung
35.24.08.2004                                                                           4 Centini
35.24.08.2005                                                                           5 Durikulon
35.24.08.2006                                                                           6 Pesanggrahan
35.24.08.2007                                                                           7 Gelap
35.24.08.2008                                                                           8 Mojoasem
35.24.08.2009                                                                           9 Siser
35.24.08.2010                                                                          10 Bulutigo
35.24.08.2011                                                                          11 Pelangwot
35.24.08.2012                                                                          12 Laren
35.24.08.2013                                                                          13 Gampangsejati
35.24.08.2014                                                                      14 Tamanprijeg
35.24.08.2015                                                                      15 Karangtawar
35.24.08.2016                                                                      16 Tejoasri
35.24.08.2017                                                                      17 Godog
35.24.08.2018                                                                      18 Bulubrangsi
35.24.08.2019                                                                      19 Karangwungulor
35.24.08.2020                                                                      20 Brangsi
35.24.09.2001                                                                       1 Besur
35.24.09.2002                                                                       2 Titik
35.24.09.2003                                                                       3 Kendal
35.24.09.2004                                                                       4 Keting
35.24.09.2005                                                                       5 Ngarum
35.24.09.2006                                                                       6 Kebalankulon
35.24.09.2007                                                                       7 Kudikan
35.24.09.2008                                                                       8 Jugo
35.24.09.2009                                                                       9 Manyar
35.24.09.2010                                                                      10 Trosono
35.24.09.2011                                                                      11 Latek
35.24.09.2012                                                                      12 Miru
35.24.09.2013                                                                      13 Sekaran
35.24.09.2014                                                                      14 Moro
35.24.09.2015                                                                      15 Karang
35.24.09.2016                                                                      16 Kembangan
35.24.09.2017                                                                      17 Siman
35.24.09.2018                                                                      18 Bulutengger
35.24.09.2019                                                                      19 Porodeso
35.24.09.2020                                                                      20 Bugel
35.24.09.2021                                                                      21 Sungegeneng
35.24.10.2001                                                                       1 Duriwetan
35.24.10.2002                                                                       2 Taji
35.24.10.2003                                                                       3 Brumbun
35.24.10.2004                                                                       4 Siwuran
35.24.10.2005                                                                       5 Klagensrampat
35.24.10.2006                                                                       6 Pangean
35.24.10.2007                                                                       7 Maduran
35.24.10.2008                                                                       8 Jangkungsomo
35.24.10.2009                                                                       9 Parengan
35.24.10.2010                                                                      10 Pangkatrejo
35.24.10.2011                                                                      11 Kanugrahan
35.24.10.2012                                                                      12 Gumantuk
35.24.10.2013                                                                      13 Ngayung
35.24.10.2014                                                                      14 Pringgoboyo
35.24.10.2015                                                                      15 Gedangan
35.24.10.2016                                                                      16 Turi
35.24.10.2017                                                                      17 Blumbang
35.24.11.2001                                                                       1 Sidokumpul
35.24.11.2002                                                                       2 Pasarlegi
35.24.11.2003                                                                       3 Semampirejo
35.24.11.2004                                                                       4 Wateswinangun
35.24.11.2005                                                                       5 Sumbersari
35.24.11.2006                                                                       6 Pataan
35.24.11.2007                                                                       7 Tenggiring
35.24.11.2008                                                                       8 Garung
35.24.11.2009                                                                       9 Wonorejo
35.24.11.2010                                                                      10 Ardirejo
35.24.11.2011                                                                      11 Sekidang
35.24.11.2012                                                                      12 Kedungwangi
35.24.11.2013                                                                      13 Jatipandak
35.24.11.2014                                                                      14 Candisari
35.24.11.2015                                                                      15 Nogojatisari
35.24.11.2016                                                                      16 Pamotan
35.24.11.2017                                                                      17 Wudi
35.24.11.2018                                                                      18 Barurejo
35.24.11.2019                                                                      19 Kedungbanjar
35.24.11.2020                                                                      20 Gempolmanis
35.24.11.2021                                                                       21 Selorejo
35.24.11.2022                                                                       22 Kreteranggon
35.24.12.2001                                                                        1 Sidobogem
35.24.12.2002                                                                        2 Kalitengah
35.24.12.2003                                                                        3 Kedungdadi
35.24.12.2004                                                                        4 Sidorejo
35.24.12.2005                                                                        5 Kedungbanjar
35.24.12.2006                                                                        6 Bedingin
35.24.12.2007                                                                        7 Bakalrejo
35.24.12.2008                                                                        8 Gondanglor
35.24.12.2009                                                                        9 Pangkatrejo
35.24.12.2010                                                                       10 Karangsambigalih
35.24.12.2011                                                                       11 Supenuh
35.24.12.2012                                                                       12 Lebakadi
35.24.12.2013                                                                       13 Deketagung
35.24.12.2014                                                                       14 Jubellor
35.24.12.2015                                                                       15 Sugio
35.24.12.2016                                                                       16 Daliwangun
35.24.12.2017                                                                       17 Jubelkidul
35.24.12.2018                                                                       18 Lawanganagung
35.24.12.2019                                                                       19 Kalipang
35.24.12.2020                                                                       20 German
35.24.12.2021                                                                       21 Sekarbagus
35.24.13.2001                                                                        1 Pucuk
35.24.13.2002                                                                        2 Gempolpading
35.24.13.2003                                                                        3 Kesambi
35.24.13.2004                                                                        4 Plososetro
35.24.13.2005                                                                        5 Wanar
35.24.13.2006                                                                        6 Karangtinggil
35.24.13.2007                                                                        7 Warukulon
35.24.13.2008                                                                        8 Waruwetan
35.24.13.2009                                                                        9 Kedali
35.24.13.2010                                                                            10 Paji
35.24.13.2011                                                                            11 Sumberjo
35.24.13.2012                                                                            12 Cungkup
35.24.13.2013                                                                            13 Bugoharjo                                 Srt Bupati Lamongan No 040/127/413.012/2016 tgl 12 April
35.24.13.2014                                                                            14 Ngambeg
35.24.13.2015                                                                            15 Babatkumpul
35.24.13.2016                                                                            16 Tanggungan
35.24.13.2017                                                                            17 Padenganploso
35.24.14.1001                                                      1 Blimbing
35.24.14.2002                                                                             1 Kandangsemangkon                          Koreksi nama, Surat Bup No 040/413.012/2016
35.24.14.2003                                                                             2 Paciran
35.24.14.2004                                                                             3 Sumurgayam
35.24.14.2005                                                                             4 Sendangagung
35.24.14.2006                                                                             5 Sendangduwur
35.24.14.2007                                                                             6 Tunggul
35.24.14.2008                                                                             7 Kranji
35.24.14.2009                                                                             8 Drajat
35.24.14.2010                                                                             9 Banjarwati
35.24.14.2011                                                                            10 Kemantren
35.24.14.2012                                                                            11 Sidokelar
35.24.14.2013                                                                            12 Tlogosadang
35.24.14.2014                                                                            13 Paloh
35.24.14.2015                                                                            14 Weru
35.24.14.2016                                                                            15 Sidokumpul
35.24.14.2017                                                                            16 Warulor
35.24.15.2001                                                                             1 Dadapan
35.24.15.2002                                                                             2 Tebluru
35.24.15.2003                                                                             3 Sugihan
